user_id,recency_days,frequency,monetary,surge_exposure,R_score,F_score,M_score,S_score,RFMS,RFMS_score,riders_segment,weighted_score
R00000,26,25,366.05,0.28,2,4,4,2,2442,12,Active Riders,3.0
R00001,6,14,180.53,0.21428571428571427,4,1,1,1,4111,7,At Risk Riders,2.2
R00002,15,24,378.99,0.375,2,4,4,3,2443,13,Active Riders,3.1
R00003,62,9,121.47,0.3333333333333333,1,1,1,2,1112,5,Dormant Riders,1.1
R00004,13,16,268.43,0.4375,3,1,2,4,3124,10,Active Riders,2.3
R00005,3,19,274.42,0.2631578947368421,4,2,2,1,4221,9,At Risk Riders,2.7
R00006,68,14,199.01,0.42857142857142855,1,1,1,4,1114,7,At Risk Riders,1.3
R00007,20,19,366.09000000000003,0.3684210526315789,2,2,4,3,2243,11,Active Riders,2.5
R00008,7,19,272.18,0.2631578947368421,3,2,2,1,3221,8,At Risk Riders,2.3
R00009,81,14,253.57,0.5,1,1,1,4,1114,7,At Risk Riders,1.3
R00010,1,31,447.56,0.22580645161290322,4,4,4,1,4441,13,Active Riders,3.7
R00011,21,18,312.18,0.3333333333333333,2,2,3,2,2232,9,At Risk Riders,2.2
R00012,22,23,328.94,0.43478260869565216,2,3,3,4,2334,12,Active Riders,2.7
R00013,48,14,226.87,0.14285714285714285,1,1,1,1,1111,4,Dormant Riders,1.0
R00014,5,29,427.76,0.3103448275862069,4,4,4,2,4442,14,Champions,3.8
R00015,7,26,405.48,0.4230769230769231,3,4,4,4,3444,15,Champions,3.6
R00016,22,20,308.93,0.1,2,2,3,1,2231,8,At Risk Riders,2.1
R00017,4,19,287.47,0.3684210526315789,4,2,2,3,4223,11,Active Riders,2.9
R00018,13,24,319.6,0.125,3,4,3,1,3431,11,Active Riders,3.1
R00019,5,26,461.88,0.34615384615384615,4,4,4,3,4443,15,Champions,3.9
R00020,4,19,318.11,0.3157894736842105,4,2,3,2,4232,11,Active Riders,3.0
R00021,11,15,200.27,0.06666666666666667,3,1,1,1,3111,6,At Risk Riders,1.8
R00022,15,18,259.07,0.3333333333333333,2,2,2,2,2222,8,At Risk Riders,2.0
R00023,13,22,310.88,0.2727272727272727,3,3,3,2,3332,11,Active Riders,2.9
R00024,62,20,322.29,0.25,1,2,3,1,1231,7,At Risk Riders,1.7
R00025,3,13,206.02,0.3076923076923077,4,1,1,2,4112,8,At Risk Riders,2.3
R00026,29,18,282.12,0.3888888888888889,1,2,2,3,1223,8,At Risk Riders,1.7
R00027,7,24,413.08,0.375,3,4,4,3,3443,14,Champions,3.5
R00028,58,18,283.57,0.3888888888888889,1,2,2,3,1223,8,At Risk Riders,1.7
R00029,7,14,234.43,0.5,3,1,1,4,3114,9,At Risk Riders,2.1
R00030,20,16,234.1,0.25,2,1,1,1,2111,5,Dormant Riders,1.4
R00031,15,25,419.52,0.56,2,4,4,4,2444,14,Champions,3.2
R00032,3,19,284.47,0.10526315789473684,4,2,2,1,4221,9,At Risk Riders,2.7
R00033,6,22,345.74,0.3181818181818182,4,3,3,2,4332,12,Active Riders,3.3
R00034,9,22,325.36,0.3181818181818182,3,3,3,2,3332,11,Active Riders,2.9
R00035,6,11,181.79,0.5454545454545454,4,1,1,4,4114,10,Active Riders,2.5
R00036,14,24,339.99,0.3333333333333333,2,4,3,2,2432,11,Active Riders,2.8
R00037,30,19,285.91,0.47368421052631576,1,2,2,4,1224,9,At Risk Riders,1.8
R00038,22,18,237.01,0.2777777777777778,2,2,1,2,2212,7,At Risk Riders,1.8
R00039,7,14,172.69,0.07142857142857142,3,1,1,1,3111,6,At Risk Riders,1.8
R00040,10,15,195.9,0.26666666666666666,3,1,1,2,3112,7,At Risk Riders,1.9
R00041,1,17,245.22,0.35294117647058826,4,1,1,3,4113,9,At Risk Riders,2.4
R00042,21,17,227.24,0.35294117647058826,2,1,1,3,2113,7,At Risk Riders,1.6
R00043,3,21,354.73,0.3333333333333333,4,3,3,2,4332,12,Active Riders,3.3
